PLATEAU_3D-Spatial-ID_CSV,0100,23,1
gml_id,spatial_id
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478961/3246553
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/14/7478963/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478963/3246546
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/12/7478966/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478972/3246550
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/19/7478964/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/11/7478966/3246553
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478971/3246547
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478961/3246545
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478964/3246547
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/11/7478963/3246547
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478961/3246547
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/13/7478963/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/20/7478961/3246551
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/11/7478959/3246553
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/19/7478961/3246551
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/20/7478964/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478969/3246548
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478964/3246553
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478965/3246554
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,22/6/3739481/1623274
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/17/7478964/3246552
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478967/3246553
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/11/7478962/3246547
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478963/3246554
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/8/7478967/3246554
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478964/3246546
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478970/3246548
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/17/7478961/3246551
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/7/7478967/3246548
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,22/4/3739483/1623273
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,22/4/3739483/1623272
bldg_5c7cdfba-8d61-4c2e-be32-9029e6b144ba,23/10/7478968/3246550
