PLATEAU_3D-Spatial-ID_CSV,0100,20,0
gml_id,spatial_id
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934989/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934992/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934992/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934997/406124
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934995/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934994/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934988/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934992/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934986/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934995/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934996/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934990/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934990/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934984/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934983/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934995/406123
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934991/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934990/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934997/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934993/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934997/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934991/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934993/406135
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934991/406135
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934998/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934989/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934994/406124
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934998/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934993/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934994/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934990/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934991/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934995/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934997/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934991/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934993/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934992/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934990/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934996/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934992/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934980/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934991/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934997/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934988/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934998/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934987/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934995/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934994/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934989/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934987/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934997/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934994/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934995/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934982/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934989/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934985/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934987/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934981/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934995/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934994/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934988/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934979/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934980/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934994/406135
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934981/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934992/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934993/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934983/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934994/406123
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934987/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934995/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934997/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934985/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934986/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934983/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934986/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934988/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934991/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934992/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934997/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934992/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934981/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934997/406121
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934994/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934990/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934997/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934988/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934996/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934994/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934993/406135
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934987/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934997/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934985/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934994/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934990/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934992/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934994/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934991/406135
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934995/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934993/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934993/406135
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934984/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934985/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934992/406123
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934985/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934995/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934997/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934995/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934990/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934979/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934990/406135
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934980/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934991/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934996/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934996/406121
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934993/406123
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934990/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934990/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934997/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934997/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934993/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934995/406121
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934980/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934982/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934993/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934997/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934998/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934987/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934991/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934994/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934990/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934995/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934994/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934985/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934989/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934993/406124
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934993/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934993/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934990/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934989/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934984/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934984/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934980/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934982/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934993/406124
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934986/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934986/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934982/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934995/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934980/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934981/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934989/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934997/406121
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934995/406124
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934983/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934992/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934991/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934987/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934986/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934986/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934986/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934993/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934997/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934991/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934981/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934982/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934983/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934991/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934986/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934987/406128
